,token,valid,no_at_fault_collisions,drivable_area_compliance,ego_progress,time_to_collision_within_bound,comfort,driving_direction_compliance,score,rank
0,0000548db87959c2,True,1.0,1.0,0.8925463938928734,1.0,1.0,1.0,0.9552276641220306,0
1,00016f8b45c25a1d,True,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0
2,0004474e9e3f5470,True,1.0,1.0,0.6602708226645045,1.0,1.0,1.0,0.8584461761102102,0
3,000926dda92d592d,True,1.0,1.0,0.7711480536763298,1.0,1.0,1.0,0.9046450223651373,0
4,000bf168dd5159af,True,1.0,1.0,0.8239843079942298,1.0,1.0,1.0,0.926660128330929,0
5,000d6961709c5904,True,1.0,1.0,1.0,0.0,1.0,1.0,0.5833333333333334,0
6,0012a35a78a151b5,True,1.0,1.0,0.8533774489415875,1.0,1.0,1.0,0.9389072703923281,0
7,00137a5ce92d591c,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0
8,00185dab0ba153b9,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
9,001b34b45b2f50e4,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
10,001d444661b45635,True,1.0,1.0,0.8446364848685682,1.0,1.0,1.0,0.9352652020285701,0
11,002672a228395a16,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
12,0027991369e05ab2,True,1.0,1.0,0.8305991552622095,1.0,1.0,1.0,0.9294163146925873,0
13,0027db600afe56ca,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
14,002a52b0ed5650da,True,1.0,1.0,0.6604036425953109,1.0,1.0,1.0,0.8585015177480462,0
15,002e450c6cba5895,True,1.0,1.0,0.9204124893994396,1.0,1.0,1.0,0.9668385372497665,0
16,0033fc4b187a5f1f,True,1.0,1.0,0.8665568692788304,1.0,1.0,1.0,0.944398695532846,0
17,0038810163a05e09,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
18,003a1fdca9505c09,True,1.0,1.0,0.9937304331221578,1.0,1.0,1.0,0.9973876804675657,0
19,003ead1914c051d7,True,1.0,1.0,0.9605898497814146,1.0,1.0,1.0,0.9835791040755893,0
20,0045af58281456a0,True,1.0,1.0,0.7603640432373797,1.0,1.0,0.5,0.9001516846822416,0
21,0057ce5b81c35a81,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
22,0059b8e52a3f55e8,True,1.0,1.0,0.8125081281178076,1.0,1.0,1.0,0.9218783867157532,0
23,005f87dd980253a5,True,1.0,1.0,0.7313887006058618,1.0,1.0,1.0,0.8880786252524424,0
24,005fcf3e9a125706,True,1.0,1.0,0.726812347421503,1.0,1.0,0.5,0.8861718114256263,0
25,00685a5276625b57,True,1.0,1.0,0.9355391146416674,1.0,1.0,1.0,0.9731412977673614,0
26,006d30e1af265b1e,True,1.0,1.0,0.9575248730859152,1.0,1.0,1.0,0.9823020304524647,0
27,006e2728d7115fa7,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
28,007845701f635565,True,1.0,1.0,0.9413978004060669,1.0,1.0,1.0,0.9755824168358611,0
29,008144fe47ac5f74,True,1.0,1.0,0.9431344520981657,1.0,1.0,1.0,0.9763060217075691,0
30,008844070af456e3,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0
31,0088dd94bbb85394,True,1.0,1.0,0.8437310590170296,1.0,1.0,1.0,0.9348879412570957,0
32,008b419a63b75917,True,1.0,1.0,0.9385590636076269,1.0,1.0,1.0,0.9743996098365112,0
33,008d66a74c275479,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
34,008d6e3394a65c1f,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
35,0092e40a13ea52f4,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
36,0093ff0188ea5b90,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
37,00a757f8d4e45f8c,True,1.0,1.0,0.8897929876566714,1.0,1.0,1.0,0.9540804115236131,0
38,00abc794f8ce5195,True,1.0,1.0,0.8360392062213972,1.0,1.0,1.0,0.9316830025922488,0
39,00b2afbb751b59c6,True,1.0,1.0,1.0,0.0,1.0,1.0,0.5833333333333334,0
40,00b838c358175255,True,1.0,1.0,0.8224131647392223,1.0,1.0,1.0,0.9260054853080093,0
41,00c489998dd4555c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
42,00c6aecefec9576c,True,1.0,1.0,0.5435369040588706,1.0,1.0,1.0,0.8098070433578627,0
43,00c893a01244562c,True,1.0,1.0,0.6619724566286346,1.0,1.0,1.0,0.859155190261931,0
44,00ddbc829ecb563e,True,1.0,1.0,0.9034975322432294,1.0,1.0,1.0,0.9597906384346789,0
45,00eb3a4e0f8052e9,True,1.0,1.0,0.7542042667242476,1.0,1.0,1.0,0.8975851111351032,0
46,00f20c2762515d09,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
47,00f49d71f0eb507b,True,1.0,1.0,0.8423529626217495,1.0,1.0,1.0,0.934313734425729,0
48,00f925ab5406520f,True,1.0,1.0,0.9061063549567019,1.0,1.0,1.0,0.9608776478986257,0
49,00fcad6d092c5e8e,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0
50,00ff8eeb53cc598b,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
51,01052f67ec24538c,True,1.0,1.0,0.9221189936521486,1.0,1.0,1.0,0.9675495806883951,0
52,011376b151f2526c,True,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0
53,0114734fd69b598e,True,1.0,1.0,0.6763332857059758,1.0,1.0,1.0,0.8651388690441566,0
54,01167513b5b55ca1,True,1.0,1.0,0.6663117070155675,1.0,1.0,1.0,0.8609632112564864,0
55,0116de776d6b5d1b,True,1.0,1.0,0.7781209667798246,1.0,1.0,1.0,0.9075504028249268,0
56,01226863089b5e1d,True,1.0,1.0,0.8634901073200201,1.0,1.0,1.0,0.9431208780500083,0
57,0122ce98b2735558,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
58,012432bd62b85f80,True,1.0,1.0,0.698666855955316,1.0,1.0,1.0,0.874444523314715,0
59,012ca60989175c54,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
60,012dc5d8043555ef,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
61,01314f10793f5ad7,True,1.0,1.0,0.9304199529163444,1.0,1.0,1.0,0.9710083137151435,0
62,01329f4a29285dfe,True,1.0,1.0,0.8727868761818492,1.0,1.0,1.0,0.9469945317424372,0
63,013456829c0050ce,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
64,013d05a439b95210,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
65,013ec5b715635a66,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
66,013fbdcd9db35b43,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
67,014369205e025f0c,True,1.0,1.0,0.716129615885161,1.0,1.0,1.0,0.8817206732854838,0
68,0145102e6c2f5803,True,1.0,1.0,0.8272612152160261,1.0,1.0,1.0,0.928025506340011,0
69,0146e76ccdba5d9d,True,1.0,1.0,0.7586141057385517,1.0,1.0,1.0,0.8994225440577299,0
70,015011d2b73158b7,True,1.0,1.0,0.9963749498017835,1.0,1.0,1.0,0.9984895624174097,0
71,01518f6335d75c16,True,1.0,1.0,0.6240317888568429,1.0,1.0,1.0,0.8433465786903511,0
72,015593741e7050f7,True,1.0,1.0,0.7674364097038927,1.0,1.0,1.0,0.9030985040432885,0
73,0156027594b85857,True,1.0,1.0,0.8165890900710546,1.0,1.0,1.0,0.9235787875296061,0
74,015ef5e7f5a55db8,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
75,0165d0814e905c1c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
76,0166f867762a56e1,True,1.0,1.0,0.9529422312252771,1.0,1.0,1.0,0.9803925963438654,0
77,016d6a913efa5ff1,True,1.0,1.0,0.7979116257707562,1.0,1.0,1.0,0.9157965107378151,0
78,016d8cf09d875f57,True,1.0,1.0,0.8689943865903142,1.0,1.0,1.0,0.9454143277459642,0
79,017514eaeeef5716,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
80,0179d579d30e588c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
81,017e89f6f6a85d79,True,1.0,1.0,0.9650502814006484,1.0,1.0,1.0,0.9854376172502702,0
82,0182731334355e48,True,1.0,1.0,0.853750588198841,1.0,1.0,1.0,0.9390627450828504,0
83,0185fc1c73c759a7,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
84,018690bcb255590d,True,1.0,1.0,0.9468054739965548,1.0,1.0,1.0,0.9778356141652312,0
85,01876d7aa6f55554,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0
86,018ba0bc5f145074,True,1.0,1.0,0.9616048544436324,1.0,1.0,1.0,0.9840020226848468,0
