Unnamed: 0,token,valid,no_at_fault_collisions,drivable_area_compliance,ego_progress,time_to_collision_within_bound,comfort,driving_direction_compliance,score,rank,risk_type
60,002173d855a853f1,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,drivable_only
138,00544d3250c05b90,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,drivable_only
270,00a82840ad6056f2,True,0.5,1.0,0.717441992605959,0.0,1.0,1.0,0.2328004151262414,0,collision_only
294,00bd680ce304528d,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,drivable_only
347,00d9700b21585402,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,drivable_only
364,00e08ab8ba645894,True,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0,drivable_only
412,00fb9e1fc35a5e8f,True,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0,drivable_only
444,01104ec163e65825,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,drivable_only
448,0112cd2efee65939,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,collision_only
684,01a19f1e79a85280,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,drivable_only
694,01a6cbedb544593f,True,0.5,1.0,0.4167678555148739,0.0,1.0,1.0,0.1701599698989321,0,collision_only
814,01f7d38e9c2f5111,True,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,drivable_only
850,02106a0b17925e9c,True,0.5,1.0,0.8892491977253357,0.0,1.0,1.0,0.2685935828594449,0,collision_only
1237,030022fddb97503b,True,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0,drivable_only
1271,03160d7ca5f05540,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,collision_only
1368,035048e0281e5095,True,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0,drivable_only
1402,036745eb4c39591a,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,drivable_only
1549,03d0a33f77fd5004,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,collision_only
1605,03ec8c9b74a45c14,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,drivable_only
1671,040e683eec9d50f3,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,drivable_only
1683,0414049ec6595f7f,True,0.5,1.0,0.864982086567862,0.0,1.0,1.0,0.2635379347016379,0,collision_only
1702,041d2c0965205fb6,True,0.5,1.0,0.8418060401206936,0.0,1.0,1.0,0.2587095916918112,0,collision_only
2001,04c9bc7f5deb5b4c,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,drivable_only
2037,04e2042adb9952af,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,drivable_only
2097,050818422e2d5e90,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,collision_only
2146,052c68d6ac395a56,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,drivable_only
2243,0578374829f75d4f,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,drivable_only
2288,05986621844f54a2,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,drivable_only
2304,05a1ec04fcce52a1,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,drivable_only
2335,05bc53aa9cf15f25,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,drivable_only
2464,06134a04fac25952,True,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,both
2660,068d046d31b45ede,True,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0,both
2681,06988be6303d50f6,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,drivable_only
2713,06b00acaca155007,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,drivable_only
2774,06d4ae92fdfa5c7e,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,collision_only
2989,075e27aa5afb55cb,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,drivable_only
3071,078a687f437853ec,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,collision_only
3086,0792a6dcbbd55f0b,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,drivable_only
3211,07ed259c4a365a73,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,drivable_only
3268,08121299416d5bf6,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,collision_only
3489,08a5d74580a552e0,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,collision_only
3540,08c616bd9d5752be,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,collision_only
3603,08f13880855c5cbe,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,collision_only
3737,0941306195f05aa1,True,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0,drivable_only
3738,0942310a1f3b5ba6,True,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0,drivable_only
